date,code,open,high,low,close,volume,foreign_net,prop_net,dealer_net,total_net
20260326,3545,43.65,45.25,43.5,43.6,1211403.0,114999.0,-61.0,273.0,115211.0
20260326,3550,17.75,18.25,17.45,17.5,1119300.0,-111000.0,0.0,706.0,-110294.0
20260326,3563,756.0,815.0,742.0,784.0,4928605.0,-295961.0,274962.0,-7009.0,-28008.0
20260326,3576,25.0,25.0,24.149999618530273,25.0,39776623.0,-1696000.0,0.0,183277.0,-1512723.0
20260326,3583,517.0,532.0,490.0,501.0,9763592.0,1106611.0,303.0,-57632.0,1049282.0
20260326,3591,20.9,22.1,20.5,21.15,6005122.0,-67000.0,0.0,-34197.0,-101197.0
20260326,3596,171.5,173.5,164.0,165.5,5219655.0,463333.0,-170065.0,-583624.0,-290356.0
20260326,3605,59.6,61.3,59.1,59.3,1103009.0,37000.0,0.0,2657.0,39657.0
20260326,3645,77.5,79.5,75.5,75.7,4855640.0,206400.0,0.0,9312.0,215712.0
20260326,3653,3945.0,4060.0,3870.0,3940.0,1121111.0,-75247.0,-69970.0,42151.0,-103066.0
20260326,3661,3155.0,3235.0,3065.0,3065.0,2064647.0,-253892.0,-294910.0,-49963.0,-598765.0
20260326,3665,1850.0,1930.0,1810.0,1815.0,3331156.0,-197520.0,304766.0,-45812.0,61434.0
20260326,3673,45.3,47.2,45.2,46.2,9062973.0,1928285.0,0.0,474873.0,2403158.0
20260326,3686,18.9,19.2,18.75,18.9,251013.0,-24000.0,0.0,0.0,-24000.0
20260326,3694,56.1,56.4,54.9,54.9,504089.0,-69000.0,0.0,-651.0,-69651.0
20260326,3701,63.9,63.9,58.0,58.0,5235130.0,-1278737.0,-2000.0,-2012.0,-1282749.0
20260326,3702,97.6,98.4,94.3,95.1,19095959.0,1975386.0,-12189.0,-150426.0,1812771.0
20260326,3704,33.5,34.3,32.75,32.75,2537083.0,92957.0,-35.0,4093.0,97015.0
20260326,3706,80.4,80.9,79.0,79.0,5689286.0,-878181.0,-54471.0,7256.0,-925396.0
20260326,3711,353.0,366.0,352.5,359.0,19447365.0,2291908.0,-314356.0,194010.0,2171562.0
20260326,3712,23.6,23.8,23.4,23.5,359183.0,151000.0,0.0,0.0,151000.0
