code,price,signals,signal_count,RSI,Williams,total_net,foreign_net,recommendation
2362,38.2,MACD,1,55.5,-60.9,0,0,skip
1471,11.85,Williams,1,44.4,-95.6,0,0,skip
1524,27.8,CCI,1,39.5,-80.0,0,0,skip
1536,50.7,MACD,1,61.9,-37.9,0,0,skip
2059,3795.0,MACD,1,63.9,-26.9,0,0,skip
2201,27.1,MACD,1,49.3,-59.6,0,0,skip
2231,130.0,MACD,1,63.2,-50.0,0,0,skip
2233,241.5,MACD,1,62.6,-46.7,0,0,skip
2243,24.25,RSI_OB,1,76.4,-25.5,0,0,skip
2258,29.4,MACD,1,66.7,-34.1,0,0,skip
2301,169.5,MACD,1,67.1,-29.1,0,0,skip
2302,17.95,MACD,1,55.6,-78.8,0,0,skip
2312,26.1,MACD,1,63.6,-56.3,0,0,skip
2313,214.5,Foreign_buy,1,42.7,-50.0,-6114001,49787653,skip
2314,15.55,MACD,1,44.7,-35.6,0,0,skip
2316,118.0,MACD,1,65.5,-22.8,0,0,skip
2329,55.3,MACD,1,60.0,-58.4,0,0,skip
2337,132.0,Foreign_buy,1,53.0,-50.0,-3873000,47008592,skip
2338,47.35,MACD,1,59.8,-66.2,0,0,skip
2352,24.6,MACD,1,63.3,-51.6,0,0,skip
2354,51.4,MACD,1,50.0,-64.6,0,0,skip
2357,585.0,MACD,1,65.0,-45.9,0,0,skip
2478,65.7,MACD,1,63.1,-60.5,0,0,skip
2484,40.2,MACD,1,65.7,-49.5,0,0,skip
4949,86.9,RSI_OB,1,75.7,-29.1,0,0,skip
3059,38.5,MACD,1,64.4,-37.2,0,0,skip
3149,43.1,MACD,1,49.0,-58.5,0,0,skip
3312,41.0,MACD,1,63.3,-57.6,0,0,skip
3356,51.2,MACD,1,62.5,-47.7,0,0,skip
3376,213.0,MACD,1,64.6,-46.2,0,0,skip
3406,514.0,MACD,1,69.6,-37.7,0,0,skip
3413,324.0,MACD,1,69.9,-30.8,0,0,skip
3481,23.4,Foreign_buy,1,55.6,-50.0,-4133271,61946288,skip
3535,114.0,CCI,1,58.0,-78.6,0,0,skip
3545,53.0,MACD,1,62.3,-41.2,0,0,skip
3563,909.0,RSI_OB,1,72.5,-43.6,0,0,skip
3591,23.15,MACD,1,58.2,-75.4,0,0,skip
3673,58.9,MACD,1,66.4,-54.5,0,0,skip
3686,17.5,MACD,1,51.1,-70.0,0,0,skip
3701,65.4,MACD,1,63.8,-54.8,0,0,skip
3704,34.45,MACD,1,58.2,-67.7,0,0,skip
3706,81.9,MACD,1,69.8,-37.1,0,0,skip
3712,19.85,MACD,1,50.6,-53.2,0,0,skip
3714,66.6,MACD,1,69.9,-50.0,0,1636200,skip
4551,131.0,CCI,1,49.0,-78.4,0,0,skip
4904,96.6,MACD,1,67.5,-30.6,0,0,skip
4915,73.0,MACD,1,59.3,-50.0,0,0,skip
3092,31.8,MACD,1,59.3,-64.3,0,0,skip
3051,23.15,MACD,1,66.8,-53.9,0,0,skip
2489,38.5,RSI_OB,1,71.5,-50.0,-2608000,1255545,skip
3041,24.8,MACD,1,69.2,-36.8,0,0,skip
2492,130.0,MACD,1,63.8,-58.5,0,0,skip
2495,39.85,MACD,1,67.4,-42.4,0,0,skip
2497,58.4,MACD,1,66.7,-30.4,0,0,skip
2498,40.0,MACD,1,53.6,-72.6,0,0,skip
2852,26.05,MACD,1,58.3,-61.5,0,0,skip
2855,35.25,MACD,1,66.3,-2.2,0,0,skip
2867,7.82,MACD,1,60.0,-53.1,0,0,skip
2880,35.0,MACD,1,61.6,-57.4,0,0,skip
2881,87.8,MACD,1,50.0,-51.9,0,0,skip
2884,32.55,MACD,1,68.0,-50.0,-8816941,29482172,skip
2886,39.55,MACD,1,54.2,-50.0,-7511703,15268057,skip
2887,23.95,Foreign_buy,1,42.6,-50.0,-31109124,56115015,skip
2897,10.05,Williams,1,50.0,-87.5,0,0,skip
3006,154.5,CCI,1,53.2,-73.7,0,0,skip
3008,2520.0,MACD,1,65.1,-53.6,0,0,skip
3011,13.95,MACD,1,65.1,-48.3,0,0,skip
3013,112.5,MACD,1,66.0,-46.9,0,0,skip
3029,95.5,MACD,1,54.2,-55.8,0,0,skip
3030,315.5,MACD,1,70.0,-44.9,0,0,skip
3032,64.2,MACD,1,59.6,-26.9,0,0,skip
3034,418.0,MACD,1,68.0,-33.9,0,0,skip
8271,200.0,MACD,1,67.3,-47.5,0,0,skip
